"filename", "language", "XML", "SCSS", "TypeScript", "Markdown", "HTML", "JSON", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/UpdateCustomerRequest.php", "PHP", 0, 0, 0, 0, 0, 0, 64, 0, 0, 8, 12, 84
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/UpdateFavouriteRequest.php", "PHP", 0, 0, 0, 0, 0, 0, 15, 0, 0, 9, 5, 29
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/UpdateUserRequest.php", "PHP", 0, 0, 0, 0, 0, 0, 67, 0, 0, 8, 12, 87
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/BookCollection.php", "PHP", 0, 0, 0, 0, 0, 0, 26, 0, 0, 27, 18, 71
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/BookResource.php", "PHP", 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 4, 30
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/FavouriteCollection.php", "PHP", 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 4, 20
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/FavouriteResource.php", "PHP", 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 4, 31
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/UserCollection.php", "PHP", 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 5, 25
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/UserResource.php", "PHP", 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 5, 34
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Models/Book.php", "PHP", 0, 0, 0, 0, 0, 0, 43, 0, 0, 2, 11, 56
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Models/Customer.php", "PHP", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Models/Favourite.php", "PHP", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Models/User.php", "PHP", 0, 0, 0, 0, 0, 0, 48, 0, 0, 24, 14, 86
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Policies/BookPolicy.php", "PHP", 0, 0, 0, 0, 0, 0, 29, 0, 0, 28, 10, 67
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Policies/CustomerPolicy.php", "PHP", 0, 0, 0, 0, 0, 0, 29, 0, 0, 28, 10, 67
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Policies/FavouritePolicy.php", "PHP", 0, 0, 0, 0, 0, 0, 29, 0, 0, 28, 10, 67
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/AppServiceProvider.php", "PHP", 0, 0, 0, 0, 0, 0, 12, 0, 0, 8, 5, 25
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/AuthServiceProvider.php", "PHP", 0, 0, 0, 0, 0, 0, 11, 0, 0, 11, 5, 27
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/BroadcastServiceProvider.php", "PHP", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 5, 20
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/EventServiceProvider.php", "PHP", 0, 0, 0, 0, 0, 0, 21, 0, 0, 12, 6, 39
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/RouteServiceProvider.php", "PHP", 0, 0, 0, 0, 0, 0, 24, 0, 0, 10, 7, 41
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/bootstrap/app.php", "PHP", 0, 0, 0, 0, 0, 0, 17, 0, 0, 30, 9, 56
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/composer.json", "JSON", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 70
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/composer.lock", "JSON", 0, 0, 0, 0, 0, 8489, 0, 0, 0, 0, 1, 8490
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/app.php", "PHP", 0, 0, 0, 0, 0, 0, 31, 0, 0, 131, 31, 193
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/auth.php", "PHP", 0, 0, 0, 0, 0, 0, 32, 0, 0, 74, 13, 119
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/broadcasting.php", "PHP", 0, 0, 0, 0, 0, 0, 36, 0, 0, 23, 13, 72
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/cache.php", "PHP", 0, 0, 0, 0, 0, 0, 59, 0, 0, 34, 19, 112
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/cors.php", "PHP", 0, 0, 0, 0, 0, 0, 11, 0, 0, 12, 12, 35
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/database.php", "PHP", 0, 0, 0, 0, 0, 0, 83, 0, 0, 47, 22, 152
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/filesystems.php", "PHP", 0, 0, 0, 0, 0, 0, 32, 0, 0, 32, 13, 77
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/hashing.php", "PHP", 0, 0, 0, 0, 0, 0, 14, 0, 0, 32, 9, 55
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/jwt.php", "PHP", 0, 0, 0, 0, 0, 0, 32, 0, 0, 226, 44, 302
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/logging.php", "PHP", 0, 0, 0, 0, 0, 0, 79, 0, 0, 34, 19, 132
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/mail.php", "PHP", 0, 0, 0, 0, 0, 0, 61, 0, 0, 54, 20, 135
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/queue.php", "PHP", 0, 0, 0, 0, 0, 0, 51, 0, 0, 42, 17, 110
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/sanctum.php", "PHP", 0, 0, 0, 0, 0, 0, 17, 0, 0, 53, 14, 84
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/services.php", "PHP", 0, 0, 0, 0, 0, 0, 17, 0, 0, 11, 7, 35
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/session.php", "PHP", 0, 0, 0, 0, 0, 0, 23, 0, 0, 157, 35, 215
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/view.php", "PHP", 0, 0, 0, 0, 0, 0, 10, 0, 0, 20, 7, 37
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/factories/BookFactory.php", "PHP", 0, 0, 0, 0, 0, 0, 23, 0, 0, 8, 5, 36
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/factories/CustomerFactory.php", "PHP", 0, 0, 0, 0, 0, 0, 20, 0, 0, 8, 5, 33
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/factories/FavouriteFactory.php", "PHP", 0, 0, 0, 0, 0, 0, 23, 0, 0, 8, 5, 36
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/factories/UserFactory.php", "PHP", 0, 0, 0, 0, 0, 0, 31, 0, 0, 14, 6, 51
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 4, 39
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 4, 29
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 4, 33
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 4, 34
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2024_01_24_115535_create_books_table.php", "PHP", 0, 0, 0, 0, 0, 0, 26, 0, 0, 6, 4, 36
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2024_02_08_183152_create_favourites_table.php", "PHP", 0, 0, 0, 0, 0, 0, 26, 0, 0, 6, 4, 36
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/seeders/BookSeeder.php", "PHP", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 4, 21
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/seeders/CustomerSeeder.php", "PHP", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 4, 22
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/seeders/DatabaseSeeder.php", "PHP", 0, 0, 0, 0, 0, 0, 14, 0, 0, 9, 7, 30
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/seeders/FavouriteSeeder.php", "PHP", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 4, 21
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/package.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/phpunit.xml", "XML", 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 33
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/public/index.php", "PHP", 0, 0, 0, 0, 0, 0, 14, 0, 0, 30, 12, 56
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/resources/css/app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/resources/js/app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
